,Signal Bandwidth [THz],Width Iron [nm],Width Platinum [nm],Laser Pulse Time [fs]
1,28.7,3,2,30
2,28.2,2,3,30
3,28.0,4,2,30
4,27.8,6,2,30
5,27.8,5,2,30
6,27.5,2,6,30
7,27.3,2,4,30
8,27.2,3,3,30
9,27.0,2,5,30
10,26.7,3,6,30
11,26.5,4,3,30
12,26.3,3,4,30
13,26.2,5,3,30
14,26.0,6,3,30
15,26.0,3,5,30
16,25.8,4,6,30
17,25.5,4,4,30
18,25.3,4,5,30
19,25.3,6,6,30
20,25.3,5,6,30
21,25.2,5,4,30
22,25.2,6,4,30
23,24.8,5,5,30
24,24.7,6,5,30
25,15.3,2,3,60
26,15.2,3,2,60
27,15.0,2,4,60
28,14.8,3,3,60
29,14.7,2,5,60
30,14.7,4,2,60
31,14.5,5,2,60
32,14.5,3,4,60
33,14.5,2,6,60
34,14.5,4,3,60
35,14.3,6,2,60
36,14.3,5,3,60
37,14.2,3,5,60
38,14.2,6,3,60
39,14.2,3,6,60
40,14.2,4,4,60
41,13.8,4,5,60
42,13.8,5,4,60
43,13.7,6,4,60
44,13.7,4,6,60
45,13.5,5,6,60
46,13.5,5,5,60
47,13.3,6,5,60
48,13.3,6,6,60
49,9.7,2,3,100
50,9.7,2,4,100
51,9.5,2,5,100
52,9.5,2,6,100
53,9.2,3,4,100
54,9.2,3,2,100
55,9.2,3,3,100
56,9.0,3,5,100
57,9.0,4,3,100
58,9.0,3,6,100
59,9.0,4,2,100
60,8.8,4,5,100
61,8.8,6,2,100
62,8.8,5,2,100
63,8.8,4,4,100
64,8.8,5,3,100
65,8.7,4,6,100
66,8.7,5,5,100
67,8.7,6,3,100
68,8.7,6,4,100
69,8.7,5,4,100
70,8.5,6,5,100
71,8.5,6,6,100
72,8.5,5,6,100
