-> Reflections parameters 
->Spin Down 
->Energies(eV)  ((Number of different regions)*2+2): First row: from Right to Left
                T       T          T
0.125           1.000   0.000   0.000
0.125           0.000   0.000   1.000
0.250           1.000   0.000   0.000
0.250           0.000   0.000   1.000
0.375           1.000   0.000   0.000
0.375           0.000   0.000   1.000
0.500           1.000   0.000   0.000
0.500           0.000   0.000   1.000
0.625           1.000   0.000   0.000
0.625           0.000   0.000   1.000
0.750           1.000   0.000   0.000 
0.750           0.000   0.000   1.000 
0.875           1.000   0.000   0.000   
0.875           0.000   0.000   1.000 
1.000           1.000   0.000   0.000 
1.000           0.000   0.000   1.000 
1.125           1.000   0.000   0.000 
1.125           0.000   0.000   1.000 
1.250           1.000   0.000   0.000 
1.250           0.000   0.000   1.000 
1.375           1.000   0.000   0.000 
1.375           0.000   0.000   1.000 
1.500           1.000   0.000   0.000  
1.500           0.000   0.000   1.000  
->Spin UP                      
->Energies(eV)  ((Number of different regions)*2+2): First row: from Right to Left 
                T        T        T
0.125           1.000    0.000    0.000
0.125           0.000    0.000    1.000
0.250           1.000    0.000    0.000
0.250           0.000    0.000    1.000
0.375           1.000    0.000    0.000
0.375           0.000    0.000    1.000
0.500           1.000    0.000    0.000
0.500           0.000    0.000    1.000
0.625           1.000    0.000    0.000
0.625           0.000    0.000    1.000
0.750           1.000    0.000    0.000
0.750           0.000    0.000    1.000
0.875           1.000    0.000    0.000
0.875           0.000    0.000    1.000
1.000           1.000    0.000    0.000
1.000           0.000    0.000    1.000
1.125           1.000    0.000    0.000
1.125           0.000    0.000    1.000
1.250           1.000    0.000    0.000 
1.250           0.000    0.000    1.000
1.375           1.000    0.000    0.000 
1.375           0.000    0.000    1.000 
1.500           1.000    0.000    0.000 
1.500           0.000    0.000    1.000 
