# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues read from Fe.EIG
# Kpoint weights read from Fe.KP
# Using smearing parameter:   0.2000
# Using 1000 points in the energy range
# Selected bands: 1 to: 38
# Emin, Emax in file for selected band(s):    -91.7901190    229.3201370
# Nbands, Nspin, Nk   =     38     2 63800
# E_F                 =    -4.2944 eV --> (shifted to ZERO)
# Broadening          =     0.2000 eV
#
#        E            N(up)        N(down)         Ntot
    -92.990119      0.000000      0.000000      0.000000
    -92.887026      0.000000      0.000000      0.000000
    -92.783933      0.000000      0.000000      0.000000
    -92.680839      0.000000      0.000000      0.000000
    -92.577746      0.000000      0.000000      0.000000
    -92.474653      0.000000      0.000000      0.000000
    -92.371560      0.000000      0.000000      0.000000
    -92.268467      0.000000      0.000000      0.000000
    -92.165373      0.000000      0.000000      0.000000
    -92.062280      0.000000      0.000000      0.000000
    -91.959187      0.000000      0.000000      0.000000
    -91.856094      0.000000      0.000000      0.000000
    -91.753000      0.000000      0.000000      0.000000
    -91.649907      0.000000      0.000000      0.000000
    -91.546814      0.000000      0.000000      0.000000
    -91.443721      0.000000      0.000000      0.000000
    -91.340628      0.000000      0.000000      0.000000
    -91.237534      0.000000      0.000000      0.000000
    -91.134441      0.000000      0.000000      0.000000
    -91.031348      0.000000      0.000000      0.000000
    -90.928255      0.000000      0.000000      0.000000
    -90.825162      0.000000      0.000000      0.000000
    -90.722068      0.000000      0.000000      0.000000
    -90.618975      0.000000      0.000000      0.000000
    -90.515882      0.000000      0.000000      0.000000
    -90.412789      0.000000      0.000000      0.000000
    -90.309695      0.000000      0.000000      0.000000
    -90.206602      0.000000      0.000000      0.000000
    -90.103509      0.000000      0.000000      0.000000
    -90.000416      0.000000      0.000000      0.000000
    -89.897323      0.000000      0.000000      0.000000
    -89.794229      0.000000      0.000000      0.000000
    -89.691136      0.000000      0.000000      0.000000
    -89.588043      0.000000      0.000000      0.000000
    -89.484950      0.000000      0.000000      0.000000
    -89.381857      0.000000      0.000000      0.000000
    -89.278763      0.000000      0.000000      0.000000
    -89.175670      0.000000      0.000000      0.000000
    -89.072577      0.000000      0.000000      0.000000
    -88.969484      0.000000      0.000000      0.000000
    -88.866391      0.000000      0.000000      0.000000
    -88.763297      0.000000      0.000000      0.000000
    -88.660204      0.000000      0.000000      0.000000
    -88.557111      0.000000      0.000000      0.000000
    -88.454018      0.000000      0.000000      0.000000
    -88.350924      0.000000      0.000000      0.000000
    -88.247831      0.000000      0.000000      0.000000
    -88.144738      0.000011      0.000000      0.000011
    -88.041645      0.000330      0.000000      0.000330
    -87.938552      0.005994      0.000000      0.005994
    -87.835458      0.065547      0.000000      0.065547
    -87.732365      0.429988      0.000000      0.429988
    -87.629272      1.688696      0.000000      1.688696
    -87.526179      3.962272      0.000000      3.962272
    -87.423086      5.543629      0.000000      5.543629
    -87.319992      4.616857      0.000000      4.616857
    -87.216899      2.285303      0.000000      2.285303
    -87.113806      0.671470      0.000000      0.671470
    -87.010713      0.116983      0.000000      0.116983
    -86.907619      0.012074      0.000000      0.012074
    -86.804526      0.000738      0.000000      0.000738
